# Node 2 spectrum, 30 records pooled. Model uses measured components and the COMPUTED gain (A 1125, B 1130) - nothing fitted.
freq_Hz,measured_V_per_rtHz,model_V_per_rtHz
4920.96,4.7756e-06,4.0366e-06
4987.72,4.8986e-06,3.9967e-06
5064.01,4.5724e-06,3.9520e-06
5140.30,4.5578e-06,3.9081e-06
5216.60,4.5651e-06,3.8651e-06
5302.43,4.5006e-06,3.8177e-06
5378.72,4.5280e-06,3.7765e-06
5464.55,4.4301e-06,3.7310e-06
5540.85,4.4546e-06,3.6914e-06
5626.68,4.2744e-06,3.6478e-06
5712.51,4.3600e-06,3.6050e-06
5798.34,4.0870e-06,3.5632e-06
5884.17,4.2067e-06,3.5222e-06
5979.54,3.9435e-06,3.4777e-06
6065.37,4.1139e-06,3.4384e-06
6160.74,3.8835e-06,3.3958e-06
6246.57,3.7162e-06,3.3582e-06
6341.93,3.8647e-06,3.3173e-06
6437.30,3.9967e-06,3.2774e-06
6532.67,4.0522e-06,3.2383e-06
6637.57,3.8454e-06,3.1962e-06
6732.94,3.4909e-06,3.1589e-06
6837.84,3.5295e-06,3.1187e-06
6942.75,3.6120e-06,3.0794e-06
7047.65,3.6230e-06,3.0411e-06
7152.56,3.5431e-06,3.0036e-06
7257.46,3.8559e-06,2.9670e-06
7371.90,3.4535e-06,2.9280e-06
7476.81,3.4474e-06,2.8930e-06
7591.25,3.5414e-06,2.8558e-06
7705.69,3.5614e-06,2.8194e-06
7829.67,3.3985e-06,2.7810e-06
7944.11,3.3349e-06,2.7463e-06
8058.55,3.3331e-06,2.7125e-06
8182.53,3.3464e-06,2.6767e-06
8306.50,3.1131e-06,2.6418e-06
8430.48,3.4807e-06,2.6078e-06
8564.00,3.1003e-06,2.5720e-06
8687.97,3.1086e-06,2.5396e-06
8821.49,2.9993e-06,2.5056e-06
8955.00,3.0480e-06,2.4724e-06
9088.52,2.9103e-06,2.4401e-06
9222.03,2.8552e-06,2.4085e-06
9365.08,2.8681e-06,2.3755e-06
9508.13,3.0241e-06,2.3434e-06
9651.18,2.6904e-06,2.3121e-06
9794.24,2.7781e-06,2.2816e-06
9946.82,2.6551e-06,2.2499e-06
10089.87,2.6751e-06,2.2209e-06
10242.46,2.9001e-06,2.1907e-06
10404.59,2.7075e-06,2.1596e-06
10557.17,2.5131e-06,2.1310e-06
10719.30,2.6122e-06,2.1014e-06
10881.42,2.5109e-06,2.0726e-06
11043.55,2.4875e-06,2.0446e-06
11215.21,2.3972e-06,2.0157e-06
11377.33,2.4251e-06,1.9891e-06
11549.00,2.3332e-06,1.9616e-06
11730.19,2.4521e-06,1.9335e-06
11901.86,2.2651e-06,1.9075e-06
12083.05,2.2622e-06,1.8808e-06
12264.25,2.2139e-06,1.8548e-06
12445.45,2.3070e-06,1.8295e-06
12636.18,2.2328e-06,1.8036e-06
12826.92,2.1125e-06,1.7784e-06
13017.65,2.1729e-06,1.7538e-06
13217.93,2.2030e-06,1.7287e-06
13418.20,2.2012e-06,1.7044e-06
13618.47,2.1243e-06,1.6806e-06
13828.28,2.1139e-06,1.6565e-06
14038.09,1.9918e-06,1.6330e-06
14247.89,2.0283e-06,1.6101e-06
14457.70,1.9599e-06,1.5879e-06
14677.05,1.9331e-06,1.5652e-06
14905.93,1.9147e-06,1.5423e-06
15125.27,1.9620e-06,1.5209e-06
15354.16,1.9269e-06,1.4992e-06
15583.04,1.8427e-06,1.4781e-06
15821.46,1.7896e-06,1.4567e-06
16059.88,1.7912e-06,1.4360e-06
16298.29,1.8537e-06,1.4158e-06
16546.25,1.8284e-06,1.3953e-06
16794.20,1.6966e-06,1.3755e-06
17051.70,1.7525e-06,1.3555e-06
17309.19,1.6731e-06,1.3360e-06
17566.68,1.6427e-06,1.3170e-06
17833.71,1.5950e-06,1.2980e-06
18100.74,1.5405e-06,1.2794e-06
18377.30,1.5746e-06,1.2608e-06
18653.87,1.6302e-06,1.2426e-06
18939.97,1.6242e-06,1.2244e-06
19226.07,1.4814e-06,1.2067e-06
19512.18,1.5079e-06,1.1895e-06
19807.82,1.4196e-06,1.1722e-06
20103.45,1.5304e-06,1.1554e-06
20408.63,1.4242e-06,1.1385e-06
20713.81,1.4767e-06,1.1222e-06
21028.52,1.5163e-06,1.1058e-06
21343.23,1.4293e-06,1.0898e-06
21667.48,1.4773e-06,1.0739e-06
21991.73,1.4336e-06,1.0584e-06
22325.52,1.3721e-06,1.0429e-06
22668.84,1.3119e-06,1.0274e-06
23002.62,1.3125e-06,1.0128e-06
23355.48,1.3206e-06,9.9782e-07
23708.34,1.2431e-06,9.8325e-07
24061.20,1.2518e-06,9.6909e-07
24423.60,1.1646e-06,9.5497e-07
24795.53,1.2102e-06,9.4089e-07
25167.47,1.1826e-06,9.2722e-07
25548.93,1.1940e-06,9.1359e-07
25930.40,1.2305e-06,9.0037e-07
26330.95,1.1677e-06,8.8688e-07
26721.95,1.0998e-06,8.7409e-07
27122.50,1.1645e-06,8.6137e-07
27532.58,1.2006e-06,8.4872e-07
27952.19,1.0903e-06,8.3615e-07
28371.81,1.1049e-06,8.2395e-07
28800.96,1.1720e-06,8.1183e-07
29239.65,1.0715e-06,7.9980e-07
29678.34,1.0531e-06,7.8812e-07
30126.57,1.0359e-06,7.7653e-07
30574.80,1.0245e-06,7.6528e-07
31042.10,9.9781e-07,7.5388e-07
31509.40,1.0554e-06,7.4282e-07
31986.24,1.1131e-06,7.3186e-07
32463.07,9.7532e-07,7.2122e-07
32958.98,9.8229e-07,7.1048e-07
33454.90,9.8690e-07,7.0005e-07
33960.34,9.1130e-07,6.8972e-07
34475.33,8.9309e-07,6.7951e-07
34990.31,9.2736e-07,6.6960e-07
35514.83,8.9221e-07,6.5979e-07
36058.43,8.7535e-07,6.4993e-07
36602.02,8.9458e-07,6.4035e-07
37155.15,8.4854e-07,6.3089e-07
37708.28,9.0203e-07,6.2171e-07
38280.49,8.9223e-07,6.1248e-07
38862.23,7.7543e-07,6.0338e-07
39443.97,8.2718e-07,5.9454e-07
40035.25,8.6787e-07,5.8582e-07
40645.60,8.5130e-07,5.7708e-07
41255.95,8.1413e-07,5.6860e-07
41875.84,7.9866e-07,5.6023e-07
42514.80,8.2076e-07,5.5186e-07
43153.76,8.5080e-07,5.4374e-07
43802.26,7.7642e-07,5.3573e-07
44460.30,7.7084e-07,5.2785e-07
45137.41,7.7371e-07,5.1997e-07
45814.51,7.6533e-07,5.1233e-07
46510.70,1.4026e-06,5.0469e-07
47206.88,7.1327e-07,4.9729e-07
47922.13,7.5162e-07,4.8990e-07
48646.93,7.2721e-07,4.8263e-07
49381.26,7.1047e-07,4.7549e-07
50125.12,6.8031e-07,4.6846e-07
50878.52,6.8241e-07,4.6155e-07
51651.00,6.6389e-07,4.5468e-07
52423.48,6.7310e-07,4.4801e-07
53215.03,6.7695e-07,4.4137e-07
54025.65,6.5187e-07,4.3477e-07
54836.27,6.4836e-07,4.2837e-07
55665.97,6.1133e-07,4.2200e-07
56505.20,6.7994e-07,4.1576e-07
57353.97,6.3433e-07,4.0962e-07
58221.82,5.7284e-07,4.0354e-07
59099.20,6.1815e-07,3.9756e-07
59995.65,3.7203e-06,3.9164e-07
