# Node 2 spectrum, 30 records pooled. Model uses measured components and the COMPUTED gain (A 1125, B 1130) - nothing fitted.
freq_Hz,measured_V_per_rtHz,model_V_per_rtHz
152.59,1.0480e-05,9.3095e-06
162.12,1.0296e-05,9.3059e-06
171.66,1.0487e-05,9.3021e-06
181.20,1.0587e-05,9.2981e-06
190.73,1.0279e-05,9.2939e-06
200.27,9.7908e-06,9.2895e-06
209.81,9.9487e-06,9.2849e-06
219.35,1.0230e-05,9.2801e-06
228.88,9.9307e-06,9.2751e-06
238.42,1.0362e-05,9.2699e-06
247.96,1.0275e-05,9.2645e-06
257.49,9.5994e-06,9.2588e-06
267.03,9.4102e-06,9.2530e-06
276.57,9.7439e-06,9.2470e-06
286.10,9.8819e-06,9.2408e-06
295.64,1.0068e-05,9.2344e-06
305.18,1.0391e-05,9.2278e-06
314.71,1.0024e-05,9.2210e-06
324.25,1.0046e-05,9.2141e-06
333.79,9.9047e-06,9.2069e-06
343.32,9.8293e-06,9.1996e-06
352.86,9.9028e-06,9.1920e-06
362.40,9.6469e-06,9.1843e-06
371.93,1.0196e-05,9.1764e-06
381.47,1.0221e-05,9.1684e-06
391.01,1.0116e-05,9.1601e-06
400.54,1.0256e-05,9.1517e-06
410.08,1.0240e-05,9.1431e-06
419.62,1.0388e-05,9.1344e-06
429.15,1.0423e-05,9.1255e-06
438.69,1.0250e-05,9.1164e-06
448.23,9.8371e-06,9.1071e-06
457.76,9.1867e-06,9.0977e-06
467.30,9.2607e-06,9.0881e-06
476.84,9.6835e-06,9.0784e-06
486.37,9.8925e-06,9.0685e-06
495.91,9.7682e-06,9.0585e-06
505.45,9.8857e-06,9.0483e-06
514.98,1.0003e-05,9.0379e-06
524.52,9.7536e-06,9.0275e-06
534.06,9.6091e-06,9.0168e-06
543.59,9.6892e-06,9.0061e-06
553.13,9.3269e-06,8.9952e-06
562.67,9.1857e-06,8.9841e-06
572.20,1.0081e-05,8.9729e-06
581.74,9.9921e-06,8.9616e-06
591.28,9.5534e-06,8.9502e-06
600.81,9.3169e-06,8.9386e-06
610.35,9.0294e-06,8.9269e-06
619.89,9.2159e-06,8.9151e-06
629.43,9.5510e-06,8.9031e-06
638.96,9.2415e-06,8.8911e-06
648.50,9.2988e-06,8.8789e-06
658.04,9.6462e-06,8.8666e-06
667.57,9.4435e-06,8.8542e-06
677.11,9.2922e-06,8.8417e-06
686.65,9.2045e-06,8.8290e-06
696.18,9.1721e-06,8.8163e-06
705.72,9.5301e-06,8.8035e-06
715.26,9.9416e-06,8.7906e-06
734.33,1.2197e-05,8.7644e-06
743.87,9.7161e-06,8.7512e-06
753.40,9.2724e-06,8.7379e-06
762.94,9.5813e-06,8.7245e-06
772.48,9.6056e-06,8.7110e-06
791.55,9.2254e-06,8.6837e-06
801.09,9.0368e-06,8.6700e-06
810.62,9.0169e-06,8.6562e-06
820.16,9.0480e-06,8.6423e-06
839.23,8.9520e-06,8.6143e-06
848.77,8.3659e-06,8.6001e-06
858.31,8.6601e-06,8.5860e-06
877.38,9.5000e-06,8.5574e-06
886.92,9.0215e-06,8.5430e-06
905.99,9.0393e-06,8.5141e-06
915.53,8.9713e-06,8.4995e-06
925.06,8.9044e-06,8.4849e-06
944.14,9.3116e-06,8.4556e-06
953.67,9.3758e-06,8.4408e-06
972.75,9.0584e-06,8.4111e-06
982.28,9.2452e-06,8.3962e-06
1001.36,9.1285e-06,8.3663e-06
1020.43,9.3539e-06,8.3363e-06
1029.97,9.2644e-06,8.3212e-06
1049.04,9.0918e-06,8.2909e-06
1068.12,9.1869e-06,8.2605e-06
1077.65,8.4769e-06,8.2453e-06
1096.73,8.6471e-06,8.2147e-06
1115.80,8.8738e-06,8.1841e-06
1125.34,8.6047e-06,8.1687e-06
1144.41,8.7185e-06,8.1379e-06
1163.48,8.9400e-06,8.1071e-06
1182.56,8.6031e-06,8.0762e-06
1201.63,8.9031e-06,8.0453e-06
1220.70,8.8037e-06,8.0144e-06
1239.78,8.7209e-06,7.9834e-06
1258.85,8.7811e-06,7.9524e-06
1277.92,8.4473e-06,7.9215e-06
1297.00,8.8424e-06,7.8905e-06
1316.07,9.0531e-06,7.8595e-06
1335.14,8.3422e-06,7.8286e-06
1354.22,8.4236e-06,7.7977e-06
1373.29,8.3441e-06,7.7668e-06
1392.36,9.2874e-06,7.7359e-06
1411.44,8.4662e-06,7.7051e-06
1440.05,1.0645e-05,7.6591e-06
1459.12,1.3835e-05,7.6284e-06
1478.20,9.1233e-06,7.5979e-06
1506.81,8.2728e-06,7.5522e-06
1525.88,7.9680e-06,7.5218e-06
1544.95,8.3194e-06,7.4915e-06
1573.56,8.0130e-06,7.4463e-06
1592.64,8.5975e-06,7.4162e-06
1621.25,7.7784e-06,7.3714e-06
1649.86,7.9150e-06,7.3268e-06
1668.93,7.7321e-06,7.2971e-06
1697.54,8.0346e-06,7.2530e-06
1716.61,7.6712e-06,7.2236e-06
1745.22,7.4313e-06,7.1799e-06
1773.83,7.6779e-06,7.1365e-06
1802.44,7.5118e-06,7.0933e-06
1831.05,7.8209e-06,7.0504e-06
1859.66,7.5125e-06,7.0079e-06
1878.74,7.6954e-06,6.9797e-06
1907.35,8.0831e-06,6.9376e-06
1935.96,7.2312e-06,6.8959e-06
1974.11,7.0888e-06,6.8408e-06
2002.72,8.0591e-06,6.7998e-06
2031.33,7.3722e-06,6.7592e-06
2059.94,7.3734e-06,6.7188e-06
2088.55,7.2850e-06,6.6788e-06
2126.69,7.4194e-06,6.6260e-06
2155.30,7.5896e-06,6.5868e-06
2183.91,7.7534e-06,6.5479e-06
2222.06,6.9863e-06,6.4966e-06
2250.67,6.8186e-06,6.4585e-06
2288.82,7.0754e-06,6.4082e-06
2326.97,7.3720e-06,6.3584e-06
2355.58,6.9188e-06,6.3215e-06
2393.72,6.6548e-06,6.2728e-06
2431.87,6.8681e-06,6.2246e-06
2470.02,7.1825e-06,6.1771e-06
2508.16,6.8737e-06,6.1301e-06
2546.31,6.4786e-06,6.0836e-06
2584.46,6.5811e-06,6.0377e-06
2622.60,6.7420e-06,5.9924e-06
2660.75,6.6258e-06,5.9475e-06
2698.90,6.7216e-06,5.9033e-06
2737.05,6.7708e-06,5.8595e-06
2784.73,6.4231e-06,5.8056e-06
2822.88,6.5044e-06,5.7630e-06
2870.56,6.5643e-06,5.7105e-06
2908.71,7.0048e-06,5.6691e-06
2956.39,6.3226e-06,5.6179e-06
2994.54,6.6659e-06,5.5776e-06
3042.22,6.1820e-06,5.5278e-06
3089.90,6.0371e-06,5.4788e-06
3137.59,5.8927e-06,5.4305e-06
3185.27,6.2192e-06,5.3829e-06
3232.96,5.9902e-06,5.3360e-06
3280.64,6.1601e-06,5.2898e-06
3328.32,6.1169e-06,5.2443e-06
3376.01,5.9466e-06,5.1994e-06
3433.23,5.6548e-06,5.1464e-06
3480.91,6.1111e-06,5.1029e-06
3538.13,5.6824e-06,5.0516e-06
3585.82,5.8842e-06,5.0094e-06
3643.04,5.8511e-06,4.9597e-06
3700.26,5.8072e-06,4.9107e-06
3757.48,5.7120e-06,4.8626e-06
3814.70,5.5364e-06,4.8153e-06
3871.92,5.4961e-06,4.7688e-06
3929.14,5.0457e-06,4.7230e-06
3986.36,5.4686e-06,4.6780e-06
4043.58,5.3573e-06,4.6338e-06
4110.34,5.1070e-06,4.5830e-06
4167.56,5.0777e-06,4.5403e-06
4234.31,5.1910e-06,4.4913e-06
4301.07,5.0297e-06,4.4433e-06
4358.29,5.4168e-06,4.4028e-06
4425.05,5.0506e-06,4.3563e-06
4491.81,5.2892e-06,4.3108e-06
4558.56,4.8424e-06,4.2660e-06
4634.86,4.7851e-06,4.2158e-06
4701.61,5.1255e-06,4.1728e-06
4768.37,4.6505e-06,4.1305e-06
4844.67,4.8401e-06,4.0831e-06
