# Node 1 spectrum, 30 records pooled. Model uses measured components and the COMPUTED gain (A 1125, B 1130) - nothing fitted.
freq_Hz,measured_V_per_rtHz,model_V_per_rtHz
2908.71,7.6338e-06,6.2905e-06
2956.39,7.3861e-06,6.2226e-06
2994.54,6.8456e-06,6.1692e-06
3042.22,6.8602e-06,6.1035e-06
3089.90,6.7810e-06,6.0390e-06
3137.59,6.8629e-06,5.9757e-06
3185.27,6.8736e-06,5.9136e-06
3232.96,6.5501e-06,5.8526e-06
3280.64,6.6508e-06,5.7926e-06
3328.32,7.1693e-06,5.7337e-06
3376.01,6.2352e-06,5.6759e-06
3433.23,6.6432e-06,5.6079e-06
3480.91,6.5172e-06,5.5523e-06
3538.13,6.3238e-06,5.4868e-06
3585.82,6.3452e-06,5.4333e-06
3643.04,6.1433e-06,5.3704e-06
3700.26,6.0611e-06,5.3087e-06
3757.48,6.0540e-06,5.2483e-06
3814.70,6.2603e-06,5.1891e-06
3871.92,5.9504e-06,5.1311e-06
3929.14,5.9390e-06,5.0743e-06
3986.36,6.0439e-06,5.0187e-06
4043.58,5.8519e-06,4.9641e-06
4110.34,5.6458e-06,4.9018e-06
4167.56,5.6050e-06,4.8495e-06
4234.31,5.5736e-06,4.7897e-06
4301.07,5.5421e-06,4.7313e-06
4358.29,5.8030e-06,4.6823e-06
4425.05,5.5691e-06,4.6263e-06
4491.81,5.4164e-06,4.5715e-06
4558.56,5.5306e-06,4.5179e-06
4634.86,5.2441e-06,4.4581e-06
4701.61,4.9404e-06,4.4069e-06
4768.37,5.1852e-06,4.3568e-06
4844.67,5.0455e-06,4.3008e-06
4920.96,4.8877e-06,4.2461e-06
4987.72,4.8873e-06,4.1994e-06
5064.01,4.9061e-06,4.1471e-06
5140.30,5.0178e-06,4.0960e-06
5216.60,4.6058e-06,4.0461e-06
5302.43,4.7900e-06,3.9912e-06
5378.72,4.5492e-06,3.9437e-06
5464.55,4.5061e-06,3.8914e-06
5540.85,4.6607e-06,3.8460e-06
5626.68,4.4532e-06,3.7962e-06
5712.51,4.3280e-06,3.7475e-06
5798.34,4.1862e-06,3.7000e-06
5884.17,4.3472e-06,3.6536e-06
5979.54,4.4823e-06,3.6034e-06
6065.37,3.9463e-06,3.5592e-06
6160.74,4.2154e-06,3.5114e-06
6246.57,4.0835e-06,3.4694e-06
6341.93,4.0385e-06,3.4238e-06
6437.30,4.0527e-06,3.3793e-06
6532.67,4.0855e-06,3.3359e-06
6637.57,3.8525e-06,3.2894e-06
6732.94,3.9333e-06,3.2482e-06
6837.84,3.8665e-06,3.2039e-06
6942.75,3.5947e-06,3.1608e-06
7047.65,3.6921e-06,3.1188e-06
7152.56,3.6551e-06,3.0779e-06
7257.46,3.5703e-06,3.0380e-06
7371.90,3.6784e-06,2.9955e-06
7476.81,3.5451e-06,2.9576e-06
7591.25,3.4733e-06,2.9173e-06
7705.69,3.4060e-06,2.8780e-06
7829.67,3.4054e-06,2.8365e-06
7944.11,3.3249e-06,2.7993e-06
8058.55,3.3341e-06,2.7630e-06
8182.53,3.2823e-06,2.7247e-06
8306.50,3.0793e-06,2.6874e-06
8430.48,3.2939e-06,2.6510e-06
8564.00,3.1774e-06,2.6129e-06
8687.97,3.0152e-06,2.5785e-06
8821.49,3.1652e-06,2.5424e-06
8955.00,2.9936e-06,2.5072e-06
9088.52,3.1455e-06,2.4730e-06
9222.03,2.8809e-06,2.4397e-06
9365.08,2.9416e-06,2.4049e-06
9508.13,2.8841e-06,2.3711e-06
9651.18,2.8889e-06,2.3382e-06
9794.24,2.9313e-06,2.3062e-06
9946.82,2.6474e-06,2.2730e-06
10089.87,2.5855e-06,2.2427e-06
10242.46,2.5883e-06,2.2112e-06
10404.59,2.5581e-06,2.1787e-06
10557.17,2.6025e-06,2.1489e-06
10719.30,2.6683e-06,2.1181e-06
10881.42,2.7090e-06,2.0882e-06
11043.55,2.4196e-06,2.0591e-06
11215.21,2.4192e-06,2.0291e-06
11377.33,2.4306e-06,2.0016e-06
11549.00,2.3657e-06,1.9732e-06
11730.19,2.4275e-06,1.9441e-06
11901.86,2.4229e-06,1.9173e-06
12083.05,2.2838e-06,1.8898e-06
12264.25,2.2835e-06,1.8631e-06
12445.45,2.2381e-06,1.8370e-06
12636.18,2.3360e-06,1.8104e-06
12826.92,2.2703e-06,1.7845e-06
13017.65,2.1362e-06,1.7594e-06
13217.93,2.0340e-06,1.7337e-06
13418.20,2.1318e-06,1.7087e-06
13618.47,2.1436e-06,1.6845e-06
13828.28,1.9864e-06,1.6598e-06
14038.09,1.9545e-06,1.6358e-06
14247.89,2.0497e-06,1.6125e-06
14457.70,2.0134e-06,1.5898e-06
14677.05,1.9254e-06,1.5667e-06
14905.93,1.9684e-06,1.5434e-06
15125.27,1.8903e-06,1.5216e-06
15354.16,1.7658e-06,1.4996e-06
15583.04,1.7570e-06,1.4781e-06
15821.46,1.7976e-06,1.4565e-06
16059.88,1.7255e-06,1.4354e-06
16298.29,1.8110e-06,1.4149e-06
16546.25,1.6809e-06,1.3942e-06
16794.20,1.6935e-06,1.3741e-06
17051.70,1.7036e-06,1.3538e-06
17309.19,1.7557e-06,1.3341e-06
17566.68,1.6131e-06,1.3150e-06
17833.71,1.5733e-06,1.2957e-06
18100.74,1.6398e-06,1.2770e-06
18377.30,1.5795e-06,1.2581e-06
18653.87,1.5570e-06,1.2398e-06
18939.97,1.5562e-06,1.2215e-06
19226.07,1.4830e-06,1.2036e-06
19512.18,1.4651e-06,1.1863e-06
19807.82,1.3910e-06,1.1689e-06
20103.45,1.4553e-06,1.1520e-06
20408.63,1.3607e-06,1.1350e-06
20713.81,1.4410e-06,1.1186e-06
21028.52,1.4424e-06,1.1021e-06
21343.23,1.4177e-06,1.0861e-06
21667.48,1.3685e-06,1.0700e-06
21991.73,1.3787e-06,1.0545e-06
22325.52,1.3755e-06,1.0389e-06
22668.84,1.2144e-06,1.0234e-06
23002.62,1.2869e-06,1.0087e-06
23355.48,1.2317e-06,9.9369e-07
23708.34,1.2867e-06,9.7908e-07
24061.20,1.2768e-06,9.6489e-07
24423.60,1.1955e-06,9.5074e-07
24795.53,1.1888e-06,9.3663e-07
25167.47,1.2050e-06,9.2294e-07
25548.93,1.1924e-06,9.0930e-07
25930.40,1.1888e-06,8.9606e-07
26330.95,1.1068e-06,8.8256e-07
26721.95,1.1068e-06,8.6977e-07
27122.50,1.0430e-06,8.5705e-07
27532.58,1.1077e-06,8.4440e-07
27952.19,1.1349e-06,8.3183e-07
28371.81,1.1014e-06,8.1963e-07
28800.96,1.1047e-06,8.0752e-07
29239.65,1.1082e-06,7.9550e-07
29678.34,1.0605e-06,7.8383e-07
30126.57,1.0405e-06,7.7226e-07
30574.80,1.0157e-06,7.6102e-07
31042.10,9.8475e-07,7.4965e-07
31509.40,1.0247e-06,7.3860e-07
31986.24,1.1808e-06,7.2767e-07
32463.07,9.3422e-07,7.1705e-07
32958.98,9.4618e-07,7.0633e-07
33454.90,9.1351e-07,6.9592e-07
33960.34,9.1227e-07,6.8563e-07
34475.33,9.2560e-07,6.7544e-07
34990.31,9.5412e-07,6.6556e-07
35514.83,9.0258e-07,6.5578e-07
36058.43,8.9207e-07,6.4595e-07
36602.02,8.8112e-07,6.3640e-07
37155.15,7.9326e-07,6.2698e-07
37708.28,8.8484e-07,6.1782e-07
38280.49,8.2436e-07,6.0863e-07
38862.23,8.4105e-07,5.9956e-07
39443.97,7.9880e-07,5.9076e-07
40035.25,9.1048e-07,5.8207e-07
40645.60,8.3870e-07,5.7337e-07
41255.95,7.6923e-07,5.6492e-07
41875.84,8.0682e-07,5.5659e-07
42514.80,8.1073e-07,5.4826e-07
43153.76,8.2816e-07,5.4017e-07
43802.26,7.8352e-07,5.3220e-07
44460.30,7.8545e-07,5.2435e-07
45137.41,8.1823e-07,5.1651e-07
45814.51,7.4196e-07,5.0890e-07
46510.70,1.4323e-06,5.0131e-07
47206.88,7.7603e-07,4.9394e-07
47922.13,7.2594e-07,4.8659e-07
48646.93,7.0387e-07,4.7936e-07
49381.26,6.9157e-07,4.7225e-07
50125.12,6.8480e-07,4.6526e-07
50878.52,6.7279e-07,4.5839e-07
51651.00,6.8846e-07,4.5155e-07
52423.48,6.8354e-07,4.4492e-07
53215.03,7.0180e-07,4.3832e-07
54025.65,6.5310e-07,4.3175e-07
54836.27,6.8169e-07,4.2539e-07
55665.97,6.6303e-07,4.1906e-07
56505.20,6.2309e-07,4.1285e-07
57353.97,6.2037e-07,4.0675e-07
58221.82,6.1930e-07,4.0070e-07
59099.20,6.3406e-07,3.9477e-07
59995.65,4.0613e-06,3.8888e-07
